KAB. OGAN ILIR,-3.43,104.61
KAB. OGAN KOMERING ILIR,-3.46,105.22
KAB. OGAN KOMERING ULU,-4.03,104.01
KAB. OGAN KOMERING ULU SELATAN,-4.67,104.01
KAB. TULUNGAGUNG,-8.09,111.96
KAB. OGAN KOMERING ULU TIMUR,-3.86,104.75
KAB. PENUKAL ABAB LEMATANG ILIR,-3.24,104.01
KOTA LUBUKLINGGAU,-3.30,102.86
KOTA PAGAR ALAM,-4.04,103.23
KOTA PALEMBANG,-2.98,104.78
KOTA PRABUMULIH,-3.42,104.24
KAB. BANGKA,-1.87,105.92
KAB. BANGKA BARAT,-1.84,105.50
KAB. BANGKA SELATAN,-2.74,106.44
KAB. BANGKA TENGAH,-2.40,106.21
KAB. BELITUNG,-2.72,107.76
KAB. BELITUNG TIMUR,-2.87,108.14
KOTA PANGKAL PINANG,-2.13,106.12
KAB. LAMPUNG TENGAH,-4.80,105.31
KAB. LAMPUNG UTARA,-4.81,104.75
KAB. LAMPUNG SELATAN,-5.56,105.55
KAB. LAMPUNG BARAT,-5.11,104.15
KAB. LAMPUNG TIMUR,-5.11,105.69
KAB. MESUJI,-4.00,105.31
KAB. PESAWARAN,-5.49,105.08
KAB. PESISIR BARAT,-5.29,104.12
KAB. PRINGSEWU,-5.33,104.99
KAB. TULANG BAWANG,-4.32,105.50
KAB. TULANG BAWANG BARAT,-4.53,105.08
KAB. TANGGAMUS,-5.30,104.57
KAB. WAY KANAN,-4.50,104.57
KOTA BANDAR LAMPUNG,-5.40,105.27
KOTA METRO,-5.12,105.31
KAB. LEBAK,-6.56,106.25
KAB. PANDEGLANG,-6.75,105.69
KAB. SERANG,-6.14,106.04
KAB. TANGERANG,-6.19,106.49
KOTA CILEGON,-6.00,106.01
KOTA SERANG,-6.11,106.16
KOTA TANGERANG,-6.20,106.65
KOTA TANGERANG SELATAN,-6.28,106.71
KAB. BANDUNG,-7.13,107.62
KAB. BANDUNG BARAT,-6.87,107.49
KAB. BEKASI,-6.25,107.15
KAB. BOGOR,-6.55,106.63
KAB. CIAMIS,-7.33,108.35
KAB. CIANJUR,-7.36,107.20
KAB. CIREBON,-6.69,108.48
KAB. GARUT,-7.50,107.76
KAB. INDRAMAYU,-6.34,108.33
KAB. KARAWANG,-6.32,107.34
KAB. KUNINGAN,-7.01,108.57
KAB. MAJALENGKA,-6.78,108.29
KAB. PANGANDARAN,-7.62,108.50
KAB. PURWAKARTA,-6.56,107.43
KAB. SUBANG,-6.35,107.76
KAB. SUKABUMI,-6.86,106.95
KAB. SUMEDANG,-6.83,107.95
KAB. TASIKMALAYA,-7.65,108.14
KOTA BANDUNG,-6.92,107.62
KOTA BANJAR,-7.37,108.53
KOTA BEKASI,-6.24,106.98
KOTA BOGOR,-6.60,106.81
KOTA CIMAHI,-6.88,107.54
KOTA CIREBON,-6.73,108.55
KOTA DEPOK,-6.40,106.79
KOTA SUKABUMI,-6.93,106.93
KOTA TASIKMALAYA,-7.35,108.22
